,온라인판매량,year,month
0,309665,2018,1
1,288800,2018,2
2,325867,2018,3
3,318369,2018,4
4,355920,2018,5
5,374849,2018,6
6,415437,2018,7
7,453319,2018,8
8,423648,2018,9
9,460967,2018,10
10,468405,2018,11
11,577758,2018,12
12,568558,2019,1
13,566204,2019,2
14,639833,2019,3
15,637236,2019,4
16,692525,2019,5
17,722286,2019,6
18,773268,2019,7
19,857555,2019,8
20,799765,2019,9
21,854572,2019,10
22,965853,2019,11
23,991679,2019,12
24,997237,2020,1
25,1066259,2020,2
26,1180004,2020,3
27,1185498,2020,4
28,1232463,2020,5
29,1184989,2020,6
30,1305403,2020,7
31,1592020,2020,8
32,1529457,2020,9
33,1477922,2020,10
34,1572480,2020,11
35,2110502,2020,12
36,1961804,2021,1
37,1762520,2021,2
38,1905016,2021,3
39,1921028,2021,4
40,2082063,2021,5
41,1919457,2021,6
42,2317210,2021,7
43,2359649,2021,8
44,2127649,2021,9
45,2207517,2021,10
46,2024799,2021,11
47,2394098,2021,12
