,사고율,year,month
0,5.162692352872078,2018,1
1,5.330700888450148,2018,2
2,6.86170837739396,2018,3
3,7.053134726545131,2018,4
4,7.029405451813695,2018,5
5,7.864174317000332,2018,6
6,7.743729611209156,2018,7
7,7.930188164712298,2018,8
8,7.598933101083229,2018,9
9,7.4931604012564605,2018,10
10,7.556886856902622,2018,11
11,6.873958911715714,2018,12
12,6.839052682455292,2019,1
13,7.1922451193058565,2019,2
14,7.577345171786246,2019,3
15,8.260050251256281,2019,4
16,8.792530920641031,2019,5
17,8.888654576128216,2019,6
18,8.874909015285432,2019,7
19,8.96358543417367,2019,8
20,8.644146707361234,2019,9
21,7.980636237897648,2019,10
22,8.319003578565786,2019,11
23,7.346020053202373,2019,12
24,7.484677039132484,2020,1
25,8.167024869511822,2020,2
26,8.789885611077663,2020,3
27,9.16223897195107,2020,4
28,8.815442146942367,2020,5
29,9.01824683178209,2020,6
30,8.676647360944159,2020,7
31,9.763851044504996,2020,8
32,9.219819024497903,2020,9
33,9.166450272656451,2020,10
34,8.656036446469248,2020,11
35,9.36313533374158,2020,12
36,7.639680729760548,2021,1
37,8.159327406794846,2021,2
38,8.427710843373495,2021,3
39,9.297247600988335,2021,4
40,9.742202785130626,2021,5
41,9.667140825035563,2021,6
42,10.642436367678116,2021,7
43,10.62248751370447,2021,8
44,9.675523160122266,2021,9
45,9.344262295081968,2021,10
46,7.929929266136162,2021,11
47,8.515412779024448,2021,12
