,사고율
0,5.162692352872078
1,5.330700888450148
2,6.86170837739396
3,7.053134726545131
4,7.029405451813695
5,7.864174317000332
6,7.743729611209156
7,7.930188164712298
8,7.598933101083229
9,7.4931604012564605
10,7.556886856902622
11,6.873958911715714
12,6.839052682455292
13,7.1922451193058565
14,7.577345171786246
15,8.260050251256281
16,8.792530920641031
17,8.888654576128216
18,8.874909015285432
19,8.96358543417367
20,8.644146707361234
21,7.980636237897648
22,8.319003578565786
23,7.346020053202373
24,7.484677039132484
25,8.167024869511822
26,8.789885611077663
27,9.16223897195107
28,8.815442146942367
29,9.01824683178209
30,8.676647360944159
31,9.763851044504996
32,9.219819024497903
33,9.166450272656453
34,8.656036446469248
35,9.36313533374158
36,7.639680729760548
37,8.159327406794846
38,8.427710843373495
39,9.297247600988335
40,9.742202785130626
41,9.667140825035563
42,10.642436367678116
43,10.62248751370447
44,9.675523160122266
45,9.344262295081968
46,7.9299292661361624
47,8.515412779024448
